year_month,PI,meter,month_ts
2025-08,0.847035005767218,solar.bun_library#realenergyintotheload#kwh,2025-08-01
2020-03,0.0009365675843337019,solar.bun_lims1#realenergyintotheload#kwh,2020-03-01
2020-05,0.0019579639694844164,solar.bun_lims1#realenergyintotheload#kwh,2020-05-01
2020-06,5.269381408126033,solar.bun_lims1#realenergyintotheload#kwh,2020-06-01
2020-07,0.7315153694691354,solar.bun_lims1#realenergyintotheload#kwh,2020-07-01
2020-08,0.93677221236836,solar.bun_lims1#realenergyintotheload#kwh,2020-08-01
2020-09,1.0217538238122261,solar.bun_lims1#realenergyintotheload#kwh,2020-09-01
2020-10,0.9594332282222968,solar.bun_lims1#realenergyintotheload#kwh,2020-10-01
2020-11,0.8425028601644153,solar.bun_lims1#realenergyintotheload#kwh,2020-11-01
2020-12,0.950263132537313,solar.bun_lims1#realenergyintotheload#kwh,2020-12-01
2021-01,0.8779409831283593,solar.bun_lims1#realenergyintotheload#kwh,2021-01-01
2021-02,0.987990678372085,solar.bun_lims1#realenergyintotheload#kwh,2021-02-01
2021-03,0.4844925119575221,solar.bun_lims1#realenergyintotheload#kwh,2021-03-01
2021-04,0.8795608444848956,solar.bun_lims1#realenergyintotheload#kwh,2021-04-01
2021-05,1.248420658379466,solar.bun_lims1#realenergyintotheload#kwh,2021-05-01
2021-06,0.8247369219236403,solar.bun_lims1#realenergyintotheload#kwh,2021-06-01
2021-07,0.8745965438250825,solar.bun_lims1#realenergyintotheload#kwh,2021-07-01
2021-08,0.9607952814149696,solar.bun_lims1#realenergyintotheload#kwh,2021-08-01
2021-09,1.0451646259796796,solar.bun_lims1#realenergyintotheload#kwh,2021-09-01
2021-10,1.0120187819619124,solar.bun_lims1#realenergyintotheload#kwh,2021-10-01
2021-11,0.9008995433556235,solar.bun_lims1#realenergyintotheload#kwh,2021-11-01
2021-12,1.1351075878924222,solar.bun_lims1#realenergyintotheload#kwh,2021-12-01
2022-01,0.9721729965735484,solar.bun_lims1#realenergyintotheload#kwh,2022-01-01
2022-02,1.1465641823346768,solar.bun_lims1#realenergyintotheload#kwh,2022-02-01
2022-03,0.4453435460376427,solar.bun_lims1#realenergyintotheload#kwh,2022-03-01
2022-04,0.820020959293792,solar.bun_lims1#realenergyintotheload#kwh,2022-04-01
2022-05,0.8436142919616623,solar.bun_lims1#realenergyintotheload#kwh,2022-05-01
2022-06,0.7640472397540752,solar.bun_lims1#realenergyintotheload#kwh,2022-06-01
2022-07,0.832170908801812,solar.bun_lims1#realenergyintotheload#kwh,2022-07-01
2022-08,0.8934198964545119,solar.bun_lims1#realenergyintotheload#kwh,2022-08-01
2022-09,0.7324733849392638,solar.bun_lims1#realenergyintotheload#kwh,2022-09-01
2022-10,0.8683055852926985,solar.bun_lims1#realenergyintotheload#kwh,2022-10-01
2022-11,0.7961661010473303,solar.bun_lims1#realenergyintotheload#kwh,2022-11-01
2022-12,0.3440355923107241,solar.bun_lims1#realenergyintotheload#kwh,2022-12-01
2023-01,0.8207225967004846,solar.bun_lims1#realenergyintotheload#kwh,2023-01-01
2023-02,0.691333266491222,solar.bun_lims1#realenergyintotheload#kwh,2023-02-01
2023-03,0.3998127163478685,solar.bun_lims1#realenergyintotheload#kwh,2023-03-01
2023-04,1.1000381584312589,solar.bun_lims1#realenergyintotheload#kwh,2023-04-01
2023-05,0.7827767976324146,solar.bun_lims1#realenergyintotheload#kwh,2023-05-01
2023-06,0.6875241143374315,solar.bun_lims1#realenergyintotheload#kwh,2023-06-01
2023-07,0.7255649823982502,solar.bun_lims1#realenergyintotheload#kwh,2023-07-01
2023-08,0.8176494406479596,solar.bun_lims1#realenergyintotheload#kwh,2023-08-01
2023-09,1.1105040926878034,solar.bun_lims1#realenergyintotheload#kwh,2023-09-01
2023-10,0.8735837614774775,solar.bun_lims1#realenergyintotheload#kwh,2023-10-01
2023-11,0.4264910982731771,solar.bun_lims1#realenergyintotheload#kwh,2023-11-01
2023-12,0.16817641182085424,solar.bun_lims1#realenergyintotheload#kwh,2023-12-01
2024-01,0.6680383350736123,solar.bun_lims1#realenergyintotheload#kwh,2024-01-01
2024-02,1.2053677436971988,solar.bun_lims1#realenergyintotheload#kwh,2024-02-01
